system:time_start,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
"Jan 5, 2018",,,,,,,,,,,,
"Jan 10, 2018",,,,,,,,,,,,
"Jan 15, 2018",0.075,0.005,0.004,0.126,0.183,0.179,0.188,0.067,0.067,0.06,0.036,0.01
"Jan 25, 2018",0.082,0.006,0.005,0.137,0.198,0.19,0.19,0.056,0.056,0.052,0.024,0.003
"Jan 30, 2018",0.054,0.018,0.012,0.071,0.108,0.132,0.155,0.102,0.108,0.108,0.088,0.045
"Feb 4, 2018",,,,,,,,,,,,
"Feb 9, 2018",,,,,,,,,,,,
"Feb 14, 2018",,,,,,,,,,,,
"Feb 19, 2018",,,,,,,,,,,,
"Feb 24, 2018",0.106,0.054,0.047,0.104,0.097,0.131,0.153,0.067,0.073,0.061,0.058,0.049
"Mar 1, 2018",,,,,,,,,,,,
"Mar 6, 2018",,,,,,,,,,,,
"Mar 11, 2018",,,,,,,,,,,,
"Mar 16, 2018",0.111,0.021,0.017,0.131,0.179,0.172,0.17,0.049,0.051,0.041,0.034,0.025
"Mar 21, 2018",,,,,,,,,,,,
"Mar 26, 2018",,,,,,,,,,,,
"Mar 31, 2018",,,,,,,,,,,,
"Apr 5, 2018",0.089,0.049,0.044,0.109,0.146,0.133,0.124,0.063,0.065,0.061,0.06,0.057
"Apr 10, 2018",,,,,,,,,,,,
"Apr 15, 2018",,,,,,,,,,,,
"Apr 20, 2018",0.099,0.063,0.059,0.09,0.106,0.111,0.109,0.069,0.069,0.065,0.067,0.093
"Apr 25, 2018",0.068,0.062,0.058,0.088,0.113,0.122,0.13,0.074,0.079,0.071,0.067,0.065
"Apr 30, 2018",0.087,0.065,0.059,0.086,0.108,0.11,0.112,0.076,0.076,0.071,0.073,0.077
"May 5, 2018",0.096,0.061,0.055,0.106,0.122,0.113,0.109,0.064,0.064,0.061,0.06,0.088
"May 10, 2018",0.081,0.074,0.066,0.085,0.101,0.102,0.105,0.08,0.081,0.076,0.078,0.07
"May 15, 2018",,,,,,,,,,,,
"May 20, 2018",,,,,,,,,,,,
"May 25, 2018",,,,,,,,,,,,
"May 30, 2018",,,,,,,,,,,,
"Jun 4, 2018",,,,,,,,,,,,
"Jun 9, 2018",,,,,,,,,,,,
"Jun 14, 2018",,,,,,,,,,,,
"Jun 19, 2018",,,,,,,,,,,,
"Jun 24, 2018",0.083,0.076,0.071,0.087,0.093,0.094,0.099,0.081,0.082,0.073,0.079,0.082
