system:time_start,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
"Jan 5, 2018",0.079,0.051,0.039,0.075,0.086,0.085,0.108,0.114,0.118,0.125,0.121,0.132
"Jan 10, 2018",,,,,,,,,,,,
"Jan 15, 2018",0.162,0.011,0.01,0.241,0.308,0.108,0.074,0.021,0.024,0.025,0.018,0.01
"Jan 25, 2018",0.149,0.014,0.013,0.238,0.321,0.108,0.072,0.021,0.023,0.026,0.017,0.008
"Jan 30, 2018",0.151,0.024,0.021,0.184,0.243,0.112,0.09,0.043,0.044,0.048,0.039,0.026
"Feb 4, 2018",,,,,,,,,,,,
"Feb 9, 2018",,,,,,,,,,,,
"Feb 14, 2018",,,,,,,,,,,,
"Feb 19, 2018",0.125,0.041,0.04,0.135,0.237,0.159,0.138,0.033,0.035,0.031,0.027,0.023
"Feb 24, 2018",,,,,,,,,,,,
"Mar 1, 2018",,,,,,,,,,,,
"Mar 6, 2018",,,,,,,,,,,,
"Mar 11, 2018",,,,,,,,,,,,
"Mar 16, 2018",0.154,0.022,0.017,0.193,0.258,0.115,0.09,0.041,0.043,0.035,0.031,0.012
"Mar 21, 2018",0.123,0.05,0.045,0.145,0.188,0.112,0.097,0.061,0.06,0.063,0.055,0.048
"Mar 26, 2018",,,,,,,,,,,,
"Mar 31, 2018",,,,,,,,,,,,
"Apr 5, 2018",0.113,0.058,0.049,0.144,0.173,0.1,0.089,0.067,0.069,0.073,0.065,0.068
"Apr 10, 2018",,,,,,,,,,,,
"Apr 15, 2018",,,,,,,,,,,,
"Apr 20, 2018",0.112,0.06,0.052,0.132,0.163,0.103,0.095,0.072,0.07,0.076,0.066,0.074
"Apr 25, 2018",0.096,0.073,0.065,0.124,0.143,0.104,0.1,0.074,0.074,0.078,0.069,0.073
"Apr 30, 2018",0.093,0.077,0.069,0.109,0.129,0.102,0.1,0.081,0.08,0.084,0.077,0.086
"May 5, 2018",0.092,0.074,0.065,0.122,0.143,0.098,0.096,0.078,0.078,0.081,0.074,0.075
"May 10, 2018",0.088,0.079,0.07,0.106,0.128,0.099,0.099,0.083,0.083,0.084,0.08,0.078
"May 15, 2018",,,,,,,,,,,,
"May 20, 2018",0.116,0.066,0.053,0.146,0.161,0.1,0.093,0.068,0.066,0.064,0.065,0.084
"May 25, 2018",0.086,0.082,0.074,0.107,0.123,0.098,0.1,0.084,0.085,0.081,0.081,0.078
"May 30, 2018",,,,,,,,,,,,
"Jun 4, 2018",0.085,0.086,0.078,0.103,0.119,0.097,0.103,0.082,0.084,0.081,0.081,0.083
"Jun 9, 2018",0.083,0.087,0.078,0.091,0.105,0.098,0.103,0.09,0.09,0.086,0.088,0.077
"Jun 14, 2018",,,,,,,,,,,,
"Jun 19, 2018",0.09,0.074,0.066,0.102,0.132,0.103,0.115,0.082,0.083,0.077,0.077,0.092
"Jun 24, 2018",0.083,0.089,0.081,0.094,0.103,0.097,0.102,0.089,0.09,0.085,0.087,0.09
"Jun 29, 2018",0.086,0.087,0.079,0.093,0.105,0.095,0.1,0.091,0.09,0.085,0.089,0.092
"Jul 4, 2018",,,,,,,,,,,,
"Jul 9, 2018",0.09,0.084,0.077,0.093,0.105,0.095,0.102,0.091,0.09,0.083,0.088,0.095
"Jul 14, 2018",0.084,0.088,0.08,0.098,0.108,0.095,0.099,0.087,0.089,0.085,0.086,0.094
"Jul 19, 2018",0.096,0.087,0.079,0.102,0.11,0.103,0.105,0.083,0.08,0.077,0.079,0.178
"Jul 24, 2018",0.086,0.086,0.079,0.099,0.108,0.097,0.102,0.087,0.088,0.084,0.084,0.086
"Aug 3, 2018",,,,,,,,,,,,
"Aug 8, 2018",0.095,0.085,0.077,0.095,0.095,0.096,0.103,0.091,0.09,0.086,0.087,0.084
"Aug 13, 2018",0.131,0.069,0.061,0.129,0.112,0.097,0.103,0.079,0.08,0.069,0.069,0.081
"Aug 18, 2018",,,,,,,,,,,,
"Aug 23, 2018",0.094,0.084,0.073,0.103,0.098,0.095,0.103,0.089,0.091,0.085,0.084,0.08
"Aug 28, 2018",0.11,0.062,0.058,0.096,0.105,0.092,0.109,0.093,0.095,0.087,0.093,0.39
"Sep 2, 2018",,,,,,,,,,,,
"Sep 7, 2018",0.138,0.068,0.06,0.121,0.119,0.099,0.103,0.076,0.074,0.073,0.069,0.063
"Sep 12, 2018",0.208,0.045,0.038,0.173,0.129,0.103,0.11,0.054,0.062,0.04,0.04,0.021
"Sep 17, 2018",0.202,0.048,0.046,0.151,0.128,0.1,0.11,0.061,0.058,0.05,0.047,0.016
"Sep 22, 2018",0.194,0.037,0.03,0.165,0.134,0.099,0.12,0.06,0.067,0.048,0.046,0.021
"Sep 27, 2018",0.122,0.07,0.063,0.115,0.124,0.099,0.104,0.079,0.078,0.074,0.073,0.066
"Oct 2, 2018",0.165,0.056,0.048,0.147,0.132,0.099,0.115,0.063,0.07,0.054,0.051,0.011
"Oct 7, 2018",0.165,0.053,0.048,0.132,0.154,0.101,0.1,0.064,0.064,0.061,0.057,0.028
"Oct 12, 2018",0.134,0.042,0.038,0.149,0.16,0.135,0.129,0.054,0.058,0.058,0.043,0.012
"Oct 17, 2018",0.174,0.058,0.05,0.128,0.113,0.098,0.11,0.07,0.071,0.064,0.063,0.056
"Oct 22, 2018",0.067,0.077,0.071,0.08,0.089,0.102,0.119,0.094,0.102,0.102,0.099,0.215
"Oct 27, 2018",0.162,0.05,0.046,0.129,0.14,0.116,0.119,0.059,0.061,0.065,0.054,0.027
"Nov 1, 2018",,,,,,,,,,,,
"Nov 6, 2018",,,,,,,,,,,,
"Nov 11, 2018",0.12,0.054,0.048,0.121,0.128,0.11,0.12,0.076,0.078,0.078,0.068,0.169
"Nov 16, 2018",0.188,0.033,0.031,0.142,0.165,0.134,0.12,0.043,0.047,0.054,0.042,0.01
"Nov 21, 2018",0.146,0.056,0.051,0.154,0.137,0.113,0.105,0.057,0.062,0.066,0.054,0.05
"Nov 26, 2018",,,,,,,,,,,,
"Dec 1, 2018",,,,,,,,,,,,
"Dec 6, 2018",0.242,0.022,0.025,0.169,0.179,0.144,0.114,0.021,0.027,0.032,0.024,0.007
"Dec 11, 2018",0.248,0.055,0.064,0.189,0.122,0.082,0.064,0.045,0.056,0.04,0.036,0.052
"Dec 16, 2018",0.226,0.031,0.031,0.158,0.14,0.126,0.116,0.044,0.046,0.044,0.038,0.006
"Dec 26, 2018",0.037,0.05,0.061,0.043,0.074,0.087,0.13,0.125,0.133,0.131,0.128,0.165
"Dec 31, 2018",,,,,,,,,,,,
"Jan 5, 2019",0.23,0.026,0.028,0.165,0.145,0.116,0.108,0.048,0.048,0.05,0.037,0.019
"Jan 10, 2019",0.139,0.048,0.044,0.153,0.126,0.131,0.124,0.054,0.06,0.07,0.052,0.02
"Jan 15, 2019",,,,,,,,,,,,
"Jan 20, 2019",0.11,0.036,0.025,0.099,0.093,0.078,0.107,0.11,0.115,0.118,0.11,0.09
"Jan 25, 2019",0.165,0.031,0.029,0.145,0.192,0.151,0.126,0.038,0.041,0.048,0.035,0.01
"Jan 30, 2019",0.078,0.07,0.066,0.12,0.127,0.117,0.116,0.074,0.079,0.084,0.069,0.051
"Feb 4, 2019",,,,,,,,,,,,
"Feb 9, 2019",0.12,0.06,0.054,0.105,0.125,0.112,0.142,0.074,0.075,0.071,0.062,0.181
"Feb 14, 2019",,,,,,,,,,,,
"Feb 19, 2019",,,,,,,,,,,,
"Feb 24, 2019",0.118,0.054,0.05,0.121,0.155,0.108,0.101,0.072,0.073,0.076,0.072,0.082
"Mar 1, 2019",,,,,,,,,,,,
"Mar 6, 2019",0.13,0.049,0.044,0.122,0.168,0.128,0.114,0.059,0.06,0.069,0.057,0.044
"Mar 11, 2019",,,,,,,,,,,,
"Mar 16, 2019",,,,,,,,,,,,
"Mar 21, 2019",0.118,0.057,0.05,0.134,0.163,0.118,0.108,0.063,0.065,0.069,0.056,0.054
"Mar 26, 2019",0.133,0.055,0.049,0.131,0.159,0.107,0.098,0.069,0.066,0.071,0.062,0.061
"Mar 31, 2019",,,,,,,,,,,,
"Apr 5, 2019",,,,,,,,,,,,
"Apr 10, 2019",0.113,0.066,0.057,0.134,0.155,0.103,0.096,0.069,0.072,0.071,0.065,0.062
"Apr 15, 2019",0.094,0.072,0.065,0.106,0.13,0.106,0.103,0.081,0.08,0.087,0.076,0.074
"Apr 20, 2019",0.108,0.068,0.061,0.121,0.133,0.104,0.1,0.078,0.078,0.078,0.072,0.071
"Apr 25, 2019",,,,,,,,,,,,
"Apr 30, 2019",0.083,0.083,0.074,0.099,0.113,0.101,0.101,0.086,0.087,0.088,0.083,0.075
"May 5, 2019",,,,,,,,,,,,
"May 10, 2019",0.084,0.088,0.079,0.103,0.117,0.095,0.098,0.085,0.086,0.083,0.083,0.122
"May 15, 2019",0.092,0.078,0.069,0.1,0.134,0.103,0.103,0.079,0.079,0.086,0.076,0.083
"May 25, 2019",0.083,0.086,0.076,0.097,0.11,0.096,0.099,0.089,0.088,0.09,0.086,0.084
"May 30, 2019",0.084,0.086,0.078,0.101,0.114,0.095,0.097,0.086,0.087,0.087,0.085,0.079
"Jun 4, 2019",0.082,0.093,0.082,0.092,0.107,0.092,0.095,0.088,0.09,0.088,0.091,0.093
"Jun 9, 2019",,,,,,,,,,,,
"Jun 14, 2019",0.095,0.085,0.077,0.099,0.106,0.097,0.099,0.087,0.086,0.086,0.085,0.109
"Jun 19, 2019",0.104,0.074,0.065,0.127,0.144,0.097,0.093,0.075,0.077,0.071,0.073,0.063
"Jun 24, 2019",0.091,0.095,0.07,0.075,0.087,0.085,0.113,0.09,0.103,0.094,0.098,0.189
"Jun 29, 2019",,,,,,,,,,,,
"Jul 4, 2019",0.084,0.09,0.082,0.093,0.106,0.094,0.099,0.09,0.09,0.084,0.089,0.087
"Jul 9, 2019",,,,,,,,,,,,
"Jul 14, 2019",0.089,0.087,0.077,0.096,0.107,0.097,0.101,0.088,0.088,0.082,0.087,0.1
"Jul 19, 2019",,,,,,,,,,,,
"Jul 24, 2019",0.096,0.081,0.073,0.098,0.114,0.098,0.104,0.086,0.086,0.081,0.083,0.087
"Jul 29, 2019",0.091,0.081,0.072,0.111,0.128,0.096,0.096,0.082,0.083,0.083,0.078,0.078
"Aug 3, 2019",0.11,0.072,0.064,0.123,0.144,0.098,0.098,0.075,0.074,0.072,0.07,0.068
"Aug 8, 2019",0.092,0.082,0.073,0.107,0.121,0.098,0.101,0.083,0.086,0.078,0.081,0.066
"Aug 13, 2019",0.112,0.07,0.058,0.11,0.119,0.092,0.096,0.089,0.089,0.08,0.085,0.096
"Aug 18, 2019",,,,,,,,,,,,
"Aug 23, 2019",,,,,,,,,,,,
"Aug 28, 2019",0.093,0.085,0.076,0.102,0.101,0.098,0.104,0.086,0.089,0.083,0.083,0.075
"Sep 2, 2019",0.122,0.072,0.064,0.104,0.106,0.102,0.123,0.08,0.081,0.074,0.072,0.083
"Sep 7, 2019",0.15,0.048,0.039,0.142,0.134,0.105,0.107,0.072,0.075,0.067,0.061,0.06
"Sep 12, 2019",0.125,0.07,0.063,0.116,0.139,0.102,0.099,0.074,0.073,0.071,0.069,0.047
"Sep 17, 2019",0.164,0.035,0.028,0.165,0.174,0.108,0.1,0.06,0.064,0.054,0.049,0.026
"Sep 22, 2019",0.136,0.056,0.048,0.138,0.179,0.102,0.096,0.062,0.062,0.062,0.058,0.065
